_id,title,author,publisher,price,comment_count
6527831c56d1630dc21efc82,"Çocuk Kalbi (Ciltli, İplik Dikişli)", Edmondo De Amicis,KAPRA YAYINCILIK," 24,90",31
6527831c56d1630dc21efc83,Çocuk Kalbi, Edmondo De Amicis,KAPRA YAYINCILIK," 14,90",79
6527831c56d1630dc21efc84,Tuttum Ben Bu Orucu, Hatice Kübra Tongar,HAYY KİTAP," 60,50",38
6527831c56d1630dc21efc85,Şeytanın Çırağı, Şiro Hamao,İTHAKİ YAYINLARI," 36,96",76
6527831c56d1630dc21efc86,Uğultulu Tepeler, Emily Bronte,CAN YAYINLARI," 62,70",773
6527831c56d1630dc21efc87,Dahacık, Şermin Yaşar,DOĞAN ÇOCUK," 61,60",56
6527831c56d1630dc21efc88,Bekleyecek Vaktim Kalmadı Artık, Jean-Louis Fournier,YAPI KREDİ YAYINLARI," 38,50",39
6527831c56d1630dc21efc89,Küçük Toplayıcının Büyük Macerası, Sinan Yaşar,TUDEM YAYINEVİ," 61,20",19
6527831c56d1630dc21efc8a,"İnsancıklar (Ciltli, İplik Dikişli)", Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK," 24,90",20
6527831d56d1630dc21efc8b,30 Günde 10 Yıl,Prof. Dr. Yavuz Yörükoğlu,HAYY KİTAP," 60,50",233
6527831d56d1630dc21efc8c,Her Şeyin Bir Başlangıcı Var, Merve Gülcemal,CEZVE ÇOCUK," 60,90",47
6527831d56d1630dc21efc8d,Dorian Gray'in Portresi, Oscar Wilde,KAPRA YAYINCILIK," 14,90",83
6527831d56d1630dc21efc8e,Babil’in En Zengin Adamı, George S. Clason,BUTİK YAYINCILIK  ," 144,00",100
6527831d56d1630dc21efc8f,Harry Potter ve Sırlar Odası, J. K. Rowling,YAPI KREDİ YAYINLARI," 70,50",1.096
6527831d56d1630dc21efc90,Problemsiz Matematik, Ebru Arık,EĞLENCELİ BİLGİ," 63,75",7
6527831d56d1630dc21efc91,Global Piyasalar , Şant Manukyan,KRONİK KİTAP," 95,70",16
6527831d56d1630dc21efc92,Sevme Sanatı / Bir Eylem Olarak Sevmek, Erich Fromm,SAY YAYINLARI," 91,05",82
6527831d56d1630dc21efc93,Palanka / Dünyanın Son İnsanları 2, Tuğba Coşkuner,CEZVE ÇOCUK," 75,50",45
6527831e56d1630dc21efc94,Kadın Beyni Erkek Beyni, Serkan Karaismailoğlu,ELMA YAYINEVİ," 78,45",758
6527831e56d1630dc21efc95,Mısır'a Sultanı Kuyudan Gelir , Yasin Pişgin,TİMAŞ YAYINLARI," 118,80",70
6527831e56d1630dc21efc96,Hizmetçi, Freida Mcfadden,OLİMPOS YAYINLARI," 81,45",43
6527831e56d1630dc21efc97,Kumarbaz (Cep Boy) (Tam Metin), Fyodor Mihailoviç Dostoyevski,KARBON KİTAPLAR," 8,90",168
6527831e56d1630dc21efc98,Çankaya, Falih Rıfkı Atay,POZİTİF YAYINLARI," 122,10",551
6527831e56d1630dc21efc99,Yarın Yok, Ayşe Kulin,EVEREST YAYINLARI," 82,80",20
6527831e56d1630dc21efc9a,Dinlemeye Değer, Aleix Cabrera,TÜBİTAK YAYINLARI," 7,50",46
6527831e56d1630dc21efc9b,Hayati Meseleler, Hayati İnanç,BABIALİ KÜLTÜR YAYINCILIĞI," 58,50",35
6527831e56d1630dc21efc9c,Bütün-Beyinli Çocuk , Tina Payne Bryson,DİYOJEN YAYINCILIK," 93,85",34
6527831e56d1630dc21efc9d,İlk Okuma - Gece ve Gündüz, Emily Bone,TÜBİTAK YAYINLARI," 11,05",13
6527831e56d1630dc21efc9e,Martı Jonathan Livingston, Richard Bach,EPSİLON YAYINEVİ," 70,21",2.659
6527831e56d1630dc21efc9f,Incognito , David Eagleman,DOMİNGO YAYINEVİ," 97,60",669
6527831f56d1630dc21efca0,Siber Kahramanlar, Feyza Şahin,ERDEM ÇOCUK YAYINLARI," 45,50",12
6527831f56d1630dc21efca1,Senin Camin Ne Renk, Jenny Molendyk Divleli,KARAVAN ÇOCUK," 72,38",44
6527831f56d1630dc21efca2,Asude Bahçe, Funda Uçuk Er,CEZVE KİTAP," 74,58",81
6527831f56d1630dc21efca3,Nar Ağacı,Prof. Dr. Nazan Bekiroğlu,TİMAŞ YAYINLARI," 165,00",3.176
6527831f56d1630dc21efca4,Babamın Yeri, Annie Ernaux,CAN YAYINLARI," 44,88",15
6527831f56d1630dc21efca5,Şimdiki Çocuklar Harika, Aziz Nesin,NESİN YAYINEVİ," 72,00",415
6527831f56d1630dc21efca6,Buz Çetesi 1 / Tehlikeye Dur De!, Yücel Öztürk,CEZVE ÇOCUK," 53,46",31
6527831f56d1630dc21efca7,Üç Kedi Bir Dilek, Sara Şahinkanat,YAPI KREDİ YAYINLARI," 57,50",1.363
6527831f56d1630dc21efca8,Toz ve Hayaller Kitapçısı, Mindy Thompson,TİMAŞ GENÇ," 92,40",16
6527832056d1630dc21efca9,Yeraltından Notlar (Cep Boy) (Tam Metin), Fyodor Mihailoviç Dostoyevski,KARBON KİTAPLAR," 8,90",32
6527832056d1630dc21efcaa,Bu Da Geçecek , Julia Samuel,EKSİK PARÇA YAYINLARI," 110,60",7
6527832056d1630dc21efcab,Süt ve Bal, Rupi Kaur,PEGASUS YAYINLARI," 174,30",105
6527832056d1630dc21efcac,İtiraflarım, Lev N. Tolstoy,KAPRA YAYINCILIK," 9,90",73
6527832056d1630dc21efcad,Koku (Ciltsiz), Patrick Süskind,CAN YAYINLARI," 94,25",990
6527832056d1630dc21efcae,Harry Potter ve Azkaban Tutsağı, J. K. Rowling,YAPI KREDİ YAYINLARI," 109,71",987
6527832056d1630dc21efcaf,Zaman Bisikleti  3 - Zamanda Kaza, Bilgin Adalı,CAN ÇOCUK YAYINLARI," 52,00",118
6527832056d1630dc21efcb0,Ünsüz Youtuberın Günlüğü, Miyase Sertbarut,ALTIN KİTAPLAR - ÖZEL ÜRÜN," 68,64",77
6527832056d1630dc21efcb1,Son Söz - Gerçek Tıp Dersleri Cilt 2 , Aidin Salih,YİTİK ŞİFA," 63,07",106
6527832056d1630dc21efcb2,"Devlet (2 Cilt Takım) (Ciltli, İplik Dikişli)", Platon (Eflatun) ,KAPRA YAYINCILIK," 49,80",6
6527832056d1630dc21efcb3,Gümüş Kanat, Cahit Uçuk,BİLGE KÜLTÜR SANAT," 32,50",183
6527832156d1630dc21efcb4,Açlık, Knut Hamsun,VARLIK YAYINLARI," 45,00",1.141
6527832156d1630dc21efcb5,Bazen Olur Böyle / Biraz Üzüldüm Sanki,Klinik Psikolog Mehmet Teber,SİNCAP KİTAP," 56,10",54
6527832156d1630dc21efcb6,Festergrimm (Karton Kapak), Thomas Taylor,TİMAŞ GENÇ," 95,70",26
6527832156d1630dc21efcb7,Cingöz Damla İş Başında, Şeyma Karagöl,BEYAN YAYINLARI," 56,10",8
6527832156d1630dc21efcb8,Bu Hikaye Senden Uzun Osman, Aylin Balboa,İLETİŞİM YAYINLARI," 71,74",30
6527832156d1630dc21efcb9,Rabbimi Tanıyorum 2 / Nasıl Olurdu ?, Merve Gülcemal,CEZVE ÇOCUK," 60,90",177
6527832156d1630dc21efcba,Gazi Mustafa Kemal Atatürk,Prof. Dr. İlber Ortaylı,KRONİK KİTAP," 92,90",1.950
6527832156d1630dc21efcbb,Totem ve Tabu, Sigmund Freud,KAPRA YAYINCILIK," 12,90",20
6527832156d1630dc21efcbc,"Dinle, Küçük Adam", Wilhelm Reich,CEM YAYINEVİ," 54,80",367
6527832156d1630dc21efcbd, Rabbimi Tanıyorum 3 / Bil Bakalım Hangi Hayvan ?, Merve Gülcemal,CEZVE ÇOCUK," 53,46",60
6527832156d1630dc21efcbe,Anna Karenina (2 Cilt Takım), Lev N. Tolstoy,YORDAM KİTAP," 153,97",19
6527832156d1630dc21efcbf,Ulusların Düşüşü, Daron Acemoğlu,DOĞAN KİTAP," 133,45",434
6527832256d1630dc21efcc0,Güneşin İki Yüzü, Bahar Eriş,ALFA YAYINLARI," 79,20",20
6527832256d1630dc21efcc1,Beklenmedik Koşullar, Lauren Asher,OLİMPOS YAYINLARI," 87,78",19
6527832256d1630dc21efcc2,Bazen Olur Böyle / Biraz Kıskandım Sanki ,Klinik Psikolog Mehmet Teber,SİNCAP KİTAP," 56,10",79
6527832256d1630dc21efcc3,Gök Kubbenin Altında, İbrahim Kalın,MECRA KİTAP," 66,00",51
6527832256d1630dc21efcc4,Macera Ekspresi / Yeşil Kafalar 3, Tuğba Coşkuner,CEZVE ÇOCUK," 63,81",102
6527832256d1630dc21efcc5,Tiamat (Karton Kapak), İhsan Oktay Anar,EVEREST YAYINLARI," 50,40",191
6527832256d1630dc21efcc6,Yeşil Peri Gecesi, Ayfer Tunç,CAN YAYINLARI," 138,60",310
